id,name,node,time,maxRSS
4588918,be8gs_8_1n4d_diis0,frontier01790,00:05:09,
4589023,be8gs_8_1n4d_diis2,frontier09005,00:04:25,
4589082,be8gs_10_1n4d_diis0,frontier01905,00:16:14,
4589307,be8gs_10_1n4d_diis2,frontier09180,00:04:21,
4589378,be8gs_12_1n4d_diis0,frontier07029,00:01:29,
4589908,c12gs_4_1n1d,frontier02426,00:01:26,
4589913,c12gs_8_1n1d,frontier05842,00:00:37,
4589909,c12gs_5_1n1d,frontier06974,00:01:34,
4589910,c12gs_6_1n1d,frontier07029,00:02:10,
4589912,c12gs_7_1n1d,frontier05745,00:03:11,
4589949,c12gs_8_1n4d,frontier06974,00:03:09,
4589966,c12gs_10_1n4d,frontier06141,00:01:15,
4589967,c12gs_10_1n4d_diis2,frontier08441,00:01:14,
4590007,ne20gs_5_1n1d,frontier06121,00:01:11,
4590011,ne20gs_5_1n1d,frontier06982,00:03:19,
4590018,ne20gs_8_1n4d,frontier06854,00:01:24,
4590017,ne20gs_7_1n1d,frontier06121,00:01:35,
4590022,ne20gs_9_1n4d,frontier09115,00:01:25,
4590066,ne20gs_4_1n4d,frontier03744,00:01:11,
4590069,ne20gs_4_1n1d,frontier09213,00:01:30,
4590072,ne20gs_6_1n1d,frontier03831,00:03:19,
4590120,ne20gs_5_1n1d,frontier03831,00:01:52,
4590560,ne20gs_7_1n1d,frontier05939,00:00:40,
4590596,ne20gs_7_1n4d,frontier03518,00:08:19,
4590701,c12gs_9_1n4d,frontier01675,00:01:37,
4590767,c12gs_5_1n1d,frontier06971,00:00:43,
4590770,c12gs_6_1n1d,frontier06817,00:01:47,
4590877,he3gs_10_1n4d_diis10,frontier01236,00:01:23,
4590878,he3gs_12_1n4d_diis10,frontier01237,00:01:25,
4590916,he3gs_12_1n1d,frontier01236,00:01:00,
4590924,he3gs_14_1n4d,frontier09413,00:00:30,
4590925,he3gs_15_1n4d,frontier01236,00:01:30,
4590939,he3gs_14_1n1d,frontier09413,00:01:55,
4590940,he3gs_15_1n1d,frontier01236,00:01:19,
4590938,he3gs_12_1n1d,frontier01237,00:02:53,
4591688,h2gs_8_1n1d_diis0_iter1000,frontier08305,00:29:45,
4591923,h2gs_8_1n1d_diis0_iter1000,frontier09331,00:30:37,
4598103,li6gs_6_1n1d_diis0_iter1000,frontier09351,00:10:53,
4598196,li6gs_7_1n1d_diis0_iter1000,frontier02270,00:30:57,
4600841,li6gs_8_1n1d_diis0_iter1000,frontier04734,01:25:17,
4742468,ca40gs_6,frontier07418,00:00:05,
4742484,ca40gs_6,frontier00129,00:13:18,
4742549,ca40gs_7_1n4d,frontier06402,00:00:30,
4742552,ca40gs_5_1n4d,frontier05508,00:01:33,
4742568,ca40gs_5_1n4d,frontier00276,00:00:44,
4751459,be8gs_10_1n4d,frontier05241,00:00:16,
4751695,be8gs_10_1n4d,frontier05502,00:00:12,
4757790,c12gs_10_2n8d,frontier[09072-09073],00:00:11,
4757824,c12gs_10_2n8d,frontier[03924-03925],00:00:12,
4757830,c12gs_10_2n8d,frontier[04937,04958],00:00:11,
4757833,c12gs_10_2n8d,frontier[09020-09021],00:00:11,
4757866,ne20gs_8_2n8d,frontier[05602-05603],00:00:31,
4757868,si28gs_8_2n8d,frontier[05857,05860],00:00:31,
4757923,ne20gs_8_2n8d,frontier[05598,05600],00:00:34,
4757935,ne20gs_8_2n8d,frontier[01065-01066],00:01:32,
4758001,he4gs_14_1n4d,frontier04843,00:01:03,
4757992,be8gs_10_1n4d,frontier02020,00:04:13,
4758093,be8gs_7_1n1d,frontier02033,00:01:25,
4758094,be8gs_7_1n4d,frontier02031,00:01:39,
4758156,be8gs_8_1n4d,frontier03286,00:02:02,
